name;url;salary_from;salary_to;requirements
Специалист по документообороту;https://hh.ru/vacancy/82514912;81000;0;Опыт работы бухгалтером на участке первичной документации.
Junior backend-разработчик;https://hh.ru/vacancy/82464341;90000;0;Опыт работы с python. Знание базовых алгоритмов и структур данных. Способность разбираться в чужом коде. Умение читать документацию. 
Коммерческий представитель;https://hh.ru/vacancy/81823380;90000;0;Презентабельный внешний вид. Умение вести переговоры. Положительные рекомендации будут вашим плюсом.
Коммерческий представитель;https://hh.ru/vacancy/81823379;90000;0;Презентабельный внешний вид. Умение вести переговоры. Положительные рекомендации будут вашим плюсом.
Бортпроводник;https://hh.ru/vacancy/78814022;100000;0;Доброжелательность, коммуникабельность, ответственность, дисциплинированность. Образование не ниже полного среднего (<highlighttext>11</highlighttext> классов). Владение английским языком на уровне не ниже Pre-Intermediate...
Фельдшер;https://hh.ru/vacancy/81389056;150000;0;Желание работы на вахте. Образование специализированное (мед). Знание санитарного-эпидемиологического режима.
Региональный менеджер по продажам;https://hh.ru/vacancy/82503653;180000;0;Опыт в продажах от 3-х лет на аналогичной должности в FMCG компаниях. Опыт управления несколькими дистрибьюторами/дилерами одновременно. 
Менеджер по продажам;https://hh.ru/vacancy/82050137;250000;0;Успешный опыт продаж от <highlighttext>1</highlighttext> года. Хорошие навыки коммуникации и презентации. Ты любишь искать решения и готов к сложным переговорам...
Исполнительный директор;https://hh.ru/vacancy/82464426;300000;0;Высшее образование (менеджерское, экономическое, математическое, физико-математическое). МВА является преимуществом. Опыт оперативного, коммерческого управления бизнесом численностью от 700 человек, оборотом...
Операционный директор;https://hh.ru/vacancy/82188130;1000000;0;Опыт в должности исполнительного / операционного директора от 3-х лет. Опыт управления командой от <highlighttext>10</highlighttext> человек и более. 
Промоутер-распространитель по почтовым ящикам;https://hh.ru/vacancy/81455143;10000;30000;
Сотрудник поддержки поиска Яндекса;https://hh.ru/vacancy/54407535;13000;33800;Аккуратный, усидчивый и ответственный человек. Грамотно говорите и пишете на русском языке. Способны самостоятельно ставить и решать задачи. 
Специалист службы поддержки с техническими знаниями;https://hh.ru/vacancy/80005896;15000;39000;Грамотно говорит и пишет на русском. Может обрабатывать большой объём информации — предстоит много учиться. Умеет находить подход к людям с...
Диспетчер чатов, удаленно;https://hh.ru/vacancy/81528929;26000;40000;Опыт работы не требуется. Обязательно наличие ПК или ноутбука. Будет плюсом опыт работы на вакансиях:
Диспетчер чатов, удаленно;https://hh.ru/vacancy/81482770;26000;40000;Опыт работы не требуется. Обязательно наличие ПК или ноутбука. Будет плюсом опыт работы на вакансиях:
Диспетчер чатов, удаленно;https://hh.ru/vacancy/81482773;26000;40000;Опыт работы не требуется. Обязательно наличие ПК или ноутбука. Будет плюсом опыт работы на вакансиях:
Промоутер рекламной продукции ежедневная оплата;https://hh.ru/vacancy/75518994;20000;40000;Быть ответственным. - Быть мобильным и энергичным.
Секретарь-делопроизводитель;https://hh.ru/vacancy/81413758;0;45000;Знание делопроизводства, документооборота. Уверенный пользователь ПК и офисной оргтехники. Ответственность‚ порядочность‚ пунктуальность. Умение работать в режиме многозадачности.
Junior HTML – верстальщик;https://hh.ru/vacancy/82502377;35000;45000;SCSS. Git. Желательно умение работать с CMS <highlighttext>1</highlighttext>С-Bitrix. Умение и желание самостоятельно обучаться. Самодисциплина. Соблюдение сроков. 
Оператор Call-центра Теле2;https://hh.ru/vacancy/79354511;35000;45000;Ты уверенный пользователь ПК. У тебя развиты коммуникативные навыки - активное слушание, интонирование речи, управление разговором. Ты стрессоустойчивый и обладаешь навыками...
Курьер;https://hh.ru/vacancy/82450891;50000;50000;Опыт работы от 6 месяцев желателен. Ответственность, пунктуальность, внимательность.
Персональный водитель;https://hh.ru/vacancy/82521534;50000;50000;Стаж вождения от <highlighttext>10</highlighttext> лет. Опыт перевозки детей. Чистоплотность, пунктуальность, ответственность. Знание общего устройства автомобиля премиум класса, правил содержания автомобиля.
Водитель персональный;https://hh.ru/vacancy/82470796;45000;50000;Среднее, средне-специальное. Опыт вождения автомобилем не менее трех лет, знание правил дорожного движения, устройства автомобиля, а также права категории...
Администратор;https://hh.ru/vacancy/82392348;40000;50000;Требуемый опыт работы: не требуется. Желателен опыт работы , но не обязателен. Коммуникабельность, общительность, клиентоориентированность. Обладаете грамотной речью и можете четко...
Санитарка/санитар;https://hh.ru/vacancy/81582507;40000;55000;Ответственность. Аккуратность. Коммуникабельность. Наличие сертификата не требуется.
Ведущий экономист планово-экономического отдела;https://hh.ru/vacancy/82470413;0;56811;Уверенный пользователь ПК (Microsoft Office (MS Excel на высоком уровне, <highlighttext>1</highlighttext>С Предприятие 8, аналитические информационные системы). Аналитический склад ума...
Охранник в офис;https://hh.ru/vacancy/82516102;50000;60000;УЧО 6 разряда. Навыки обращения со служебным оружием.
Водитель офисный;https://hh.ru/vacancy/82526708;62000;62000;Водительские права категории B. Подтвержденный опыт работы водителем от 3 лет. Опыт вождения минивэна обязателен. Ответственность, внимательность, пунктуальность, аккуратность, исполнительность...
